"86dfd16d-d1d8-4b71-88af-0e1126425c77";"hg";"Hectogram";0.1;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"89121cea-0d98-4466-9b0f-e33e448db7ec";"bl (US fl)";"Barrel (US non-beer fluid)";0.11;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"8aa31dda-e324-469c-a29d-56476584f5ca";"gal (Imp)";"Gallon (Imperial); used in UK, United Arab Emirates for fuels";0.00455;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"8c1fafa2-2b2e-4fef-9581-5de34ae87350";"l*a";"Litre times year";0.001;;"93a60a57-a3c8-23da-a746-0800200c9a66"
"8cbb4edb-d76c-41f7-8b30-cc789217c954";"km*a";"Kilometres * year";1000;"kmy";"326eb58b-e5b3-4cea-b45a-2398c25109f8"
"8ee3bcbf-9e65-4f59-9b0b-40b504cbe345";"ac";"Acre (US survey)";4046.85;"acre (US);acre";"93a60a57-a3c8-18da-a746-0800200c9a66"
"9003179a-bf17-4e89-8fd7-a0c1c91ac189";"u";"Micron";1e-06;"µm;um";"838aaa22-0117-11db-92e3-0800200c9a66"
"90888d8d-3d57-497f-a3fa-12aefd2bc774";"bsh (Imp)";"Imperial bushel";0.03;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"90d59045-3565-4c5a-bb27-ebc365aacbd0";"dag";"Decagram";0.01;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"91995a9e-3cb4-4fc9-a93b-8c618ff9b948";"bbl";"Barrel (petroleum)";0.15;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"92e3bd49-8ed5-4885-9db6-fc88c7afcfcb";"MWh";"Megawatt times hour";3600;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"930e411f-542b-4f66-8e83-b04c303a9780";"USD 2002";"US dollar 2002";1.29;"$";"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"9428cdb2-e08e-46f9-a9aa-85cc11416b5f";"dam";"Decametre";10;;"838aaa22-0117-11db-92e3-0800200c9a66"
"94b84332-8f2d-4592-b2a0-e19da33a69e9";"kg/a";"Kilogram per year";1;;"c28831de-8759-43da-98bd-05617cb1722d"
"94dcd768-ea3e-47da-ba1b-11fea4b5f4cc";"MJ/kg*d";"Megajoule per kilogram times day";1;;"258d6abd-14f2-4484-956c-c88e8f6fd8ed"
"95dd50e9-c184-4412-9afc-9764b1ffcf8f";"kg SWU";"Kilogram SWU";1;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"95e8feec-abc7-4eb0-bf39-2a6d411cba8d";"(mm*m2)/a";"Millimetre times square metre per year";1;;"9e5a91be-b3d1-4268-8e7d-e5e93f6a75d4"
"97ee3997-137d-4d96-80bf-c4f106c743c4";"NOK 2000";"Norwegian krone";0.12;;"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"9942703a-5962-4823-8ea3-7af06af9a21e";"l*d";"Litre times day";2.74e-06;"l*day";"93a60a57-a3c8-23da-a746-0800200c9a66"
